Date,Remark Code,Value
2001-08-06,NA,8
2001-10-11,NA,43
2001-12-06,NA,87
2002-04-18,NA,31
2002-08-01,NA,27
2002-10-10,NA,68
2002-12-17,NA,34
2003-04-22,NA,26
2003-08-11,NA,16
2003-10-14,NA,390
2003-12-10,NA,68
2004-04-07,NA,7300
2004-08-16,NA,80
2004-10-12,NA,84
2004-12-02,NA,73
2005-04-06,NA,14
2005-08-11,NA,50
2005-10-03,NA,59
2006-04-05,NA,3.1
2006-08-10,NA,27
2006-08-28,NA,18
2006-10-02,NA,86
2007-02-05,NA,3
2007-04-02,NA,69
2007-08-09,NA,12
2007-10-01,NA,23
2008-02-04,NA,19
2008-04-07,NA,3
2008-08-04,NA,19
2008-10-06,NA,18
2009-02-02,NA,12
2009-04-01,NA,21
2009-08-03,NA,42
2009-10-05,NA,120
2010-02-02,NA,63
2010-04-01,NA,38
2010-08-12,NA,39
2010-10-12,NA,86
2011-02-03,NA,26
2011-04-04,NA,93
2011-08-04,NA,76
2011-10-03,NA,88
2012-02-02,NA,160
2012-04-12,NA,89
2012-08-01,NA,75
2012-09-27,NA,2
2012-10-01,NA,55
2012-12-05,NA,14
2013-02-07,NA,78
2013-02-18,NA,24
2013-04-10,NA,350
2013-06-04,NA,63
2013-08-06,NA,99
2013-09-16,NA,51
2013-10-01,NA,72
2013-12-04,NA,38
2014-02-06,NA,29
2014-03-13,NA,13
2014-04-10,NA,48
2014-08-18,NA,140
2014-09-19,NA,4
2014-10-13,NA,440
2015-02-04,NA,70
2015-02-06,NA,31
2015-04-06,NA,78
2015-08-10,NA,61
